indicator_id,pillar,indicator,question,keywords
S1,S,Workforce profile,Does the company disclose employee headcount demographics or employment type?,employees|workforce|headcount|full-time|part-time|turnover|nhân viên|người lao động|lao động|nhân sự
S2,S,Occupational health and safety,Does the company disclose health and safety performance?,health and safety|occupational safety|lost time injury|ltifr|incident rate|fatality|an toàn lao động|sức khỏe|tai nạn lao động
S3,S,Training and development,Does the company disclose employee training or development metrics?,training hours|development|learning|upskilling|education|đào tạo|phát triển nhân lực|học tập
S4,S,Diversity and inclusion,Does the company disclose diversity inclusion gender equality or equal opportunity?,diversity|inclusion|gender|equal opportunity|women employees
S5,S,Employee engagement,Does the company disclose employee engagement satisfaction or retention initiatives?,employee engagement|satisfaction|retention|survey
S6,S,Human rights,Does the company disclose human rights labor standards or modern slavery controls?,human rights|labor rights|modern slavery|forced labor|child labor
S7,S,Community investment,Does the company disclose community investment philanthropy or social contribution?,community|philanthropy|donation|social contribution|csr|cộng đồng|xã hội|từ thiện|đóng góp xã hội
S8,S,Customer health and safety,Does the company disclose product or customer health and safety?,customer safety|product safety|health impact|quality assurance
S9,S,Data privacy,Does the company disclose customer data privacy or cybersecurity practices?,data privacy|personal data|cybersecurity|information security
S10,S,Supply chain labor,Does the company disclose supplier labor standards or social audits?,supplier labor|supplier code|social audit|supplier assessment
S11,S,Grievance mechanisms,Does the company disclose grievance whistleblowing or complaint channels for stakeholders?,grievance|complaint|whistleblowing|hotline
S12,S,Collective bargaining,Does the company disclose collective bargaining freedom of association or union coverage?,collective bargaining|union|freedom of association
S13,S,Pay and benefits,Does the company disclose employee remuneration benefits or living wage practices?,remuneration|benefits|salary|living wage|compensation
S14,S,Local employment,Does the company disclose local hiring or local supplier/community employment impact?,local hiring|local employment|local supplier|local community
S15,S,Social compliance,Does the company disclose social fines labor disputes or compliance incidents?,labor compliance|social compliance|dispute|fine|penalty
