indicator_id,indicator_name_en,pillar,category_vi,indicator_name_vi,framework,gri_reference,definition,retrieval_query,keywords_vi,keywords_en,keywords_energy,materiality,industry_relevance,weight,score_0,score_1,score_2,score_3,evidence_requirement
E1,Climate Policy,E,Môi trường,Chính sách khí hậu và môi trường,GRI/TCFD/ISSB,REF,Công bố chính sách hoặc cam kết về khí hậu/môi trường,climate policy; environmental policy; net zero policy,chính sách môi trường; chính sách khí hậu,environmental policy,kw_energy,High,Energy|Utilities,1,Không đề cập,Định tính,Định lượng,Định lượng+kết quả,Bằng chứng
E2,Environmental Management System,E,Môi trường,Hệ thống quản lý môi trường,GRI/TCFD/ISSB,REF,Công bố EMS hoặc hệ thống quản lý môi trường,EMS; environmental management system; ISO 14001,hệ thống quản lý môi trường,ISO 14001,kw_energy,High,Energy|Utilities,1,Không đề cập,Định tính,Định lượng,Định lượng+kết quả,Bằng chứng
E3,ISO14001,E,Môi trường,Chứng nhận ISO 14001,GRI/TCFD/ISSB,REF,Công bố chứng nhận ISO14001,ISO14001 certification,ISO 14001,ISO14001,kw_energy,High,Energy|Utilities,1,Không đề cập,Định tính,Định lượng,Định lượng+kết quả,Bằng chứng
E4,Climate Risk,E,Môi trường,Rủi ro khí hậu,GRI/TCFD/ISSB,REF,Công bố rủi ro liên quan biến đổi khí hậu,climate risk; transition risk; physical risk,rủi ro khí hậu,climate risk,kw_energy,High,Energy|Utilities,1,Không đề cập,Định tính,Định lượng,Định lượng+kết quả,Bằng chứng
E5,Energy Consumption,E,Môi trường,Tiêu thụ năng lượng,GRI/TCFD/ISSB,REF,Tổng năng lượng tiêu thụ,energy consumption; electricity consumption,tiêu thụ năng lượng,energy consumption,kw_energy,High,Energy|Utilities,1,Không đề cập,Định tính,Định lượng,Định lượng+kết quả,Bằng chứng
E6,Energy Intensity,E,Môi trường,Cường độ năng lượng,GRI/TCFD/ISSB,REF,Năng lượng trên đơn vị doanh thu/sản lượng,energy intensity,cường độ năng lượng,energy intensity,kw_energy,High,Energy|Utilities,1,Không đề cập,Định tính,Định lượng,Định lượng+kết quả,Bằng chứng
E7,GHG Emissions,E,Môi trường,Tổng phát thải KNK,GRI/TCFD/ISSB,REF,Tổng phát thải khí nhà kính,GHG emissions; tCO2e,phát thải khí nhà kính,GHG emissions,kw_energy,High,Energy|Utilities,1,Không đề cập,Định tính,Định lượng,Định lượng+kết quả,Bằng chứng
E8,Scope 1,E,Môi trường,Phát thải Scope 1,GRI/TCFD/ISSB,REF,Phát thải trực tiếp,scope 1 emissions,scope 1,scope 1,kw_energy,High,Energy|Utilities,1,Không đề cập,Định tính,Định lượng,Định lượng+kết quả,Bằng chứng
E9,Scope 2,E,Môi trường,Phát thải Scope 2,GRI/TCFD/ISSB,REF,Phát thải gián tiếp từ điện,scope 2 emissions,scope 2,scope 2,kw_energy,High,Energy|Utilities,1,Không đề cập,Định tính,Định lượng,Định lượng+kết quả,Bằng chứng
E10,Emission Intensity,E,Môi trường,Cường độ phát thải,GRI/TCFD/ISSB,REF,Phát thải trên đơn vị doanh thu/sản lượng,emission intensity,cường độ phát thải,emission intensity,kw_energy,High,Energy|Utilities,1,Không đề cập,Định tính,Định lượng,Định lượng+kết quả,Bằng chứng
E11,Emission Reduction Target,E,Môi trường,Mục tiêu giảm phát thải,GRI/TCFD/ISSB,REF,Mục tiêu hoặc kết quả giảm phát thải,emission reduction target,mục tiêu giảm phát thải,reduction target,kw_energy,High,Energy|Utilities,1,Không đề cập,Định tính,Định lượng,Định lượng+kết quả,Bằng chứng
E12,Renewable Energy,E,Môi trường,Năng lượng tái tạo,GRI/TCFD/ISSB,REF,Tỷ lệ hoặc sử dụng năng lượng tái tạo,renewable energy,năng lượng tái tạo,renewable energy,kw_energy,High,Energy|Utilities,1,Không đề cập,Định tính,Định lượng,Định lượng+kết quả,Bằng chứng
