indicator_id,pillar,category_vi,indicator_name_vi,framework,retrieval_query,keywords_vi,score_0,score_1,score_2,score_3,evidence_requirement
E1,E,Quản trị môi trường,Công bố chính sách môi trường,GRI 2,Doanh nghiệp có công bố chính sách môi trường không?,môi trường;chính sách môi trường,Không đề cập,Đề cập chung,Có chính sách cụ thể,Có chính sách+kết quả/mục tiêu,Đoạn mô tả chính sách
E2,E,Quản trị môi trường,Hệ thống quản lý môi trường,GRI 3,Có hệ thống quản lý môi trường?,ISO14001;EMS,Không đề cập,Đề cập,Mô tả hệ thống,Mô tả+kết quả,Mô tả hệ thống
E3,E,Quản trị môi trường,Mục tiêu môi trường,GRI 3,Có mục tiêu môi trường?,mục tiêu môi trường,Không,Có cam kết,Có mục tiêu định lượng,Có mục tiêu+tiến độ,Mục tiêu
E4,E,Năng lượng,Tiêu thụ năng lượng,GRI302,Công bố tiêu thụ năng lượng?,điện;năng lượng,Không,Định tính,Có số liệu,Có số liệu+xu hướng/mục tiêu,Bảng số liệu
E5,E,Năng lượng,Cường độ năng lượng,GRI302,Công bố cường độ năng lượng?,energy intensity,Không,Đề cập,Có chỉ số,Có chỉ số+so sánh,Chỉ số
E6,E,Năng lượng,Năng lượng tái tạo,GRI302,Công bố năng lượng tái tạo?,renewable,Không,Đề cập,Có số liệu,Có số liệu+mục tiêu,Số liệu
E7,E,Khí hậu,Phát thải khí nhà kính,GRI305,Công bố GHG?,GHG;CO2;carbon,Không,Định tính,Có số liệu,Có số liệu+mục tiêu giảm,Số liệu
E8,E,Khí hậu,Phát thải Scope 1,IFRS S2,Công bố Scope 1?,scope 1,Không,Đề cập,Có số liệu,Có số liệu+xu hướng,Số liệu
E9,E,Khí hậu,Phát thải Scope 2,IFRS S2,Công bố Scope 2?,scope 2,Không,Đề cập,Có số liệu,Có số liệu+xu hướng,Số liệu
E10,E,Khí hậu,Mục tiêu giảm phát thải,TCFD,Có mục tiêu giảm phát thải?,net zero;giảm phát thải,Không,Cam kết,Mục tiêu định lượng,Mục tiêu+tiến độ,Mục tiêu
E11,E,Khí hậu,Rủi ro khí hậu,TCFD,Có thảo luận rủi ro khí hậu?,biến đổi khí hậu,Không,Đề cập,Phân tích,Phân tích+ứng phó,Mô tả
E12,E,Tài nguyên,Sử dụng nước,GRI303,Công bố sử dụng nước?,nước,Không,Định tính,Có số liệu,Có số liệu+mục tiêu,Số liệu
E13,E,Tài nguyên,Tiết kiệm nước,GRI303,Có sáng kiến tiết kiệm nước?,tiết kiệm nước,Không,Đề cập,Có chương trình,Có chương trình+kết quả,Mô tả
E14,E,Tài nguyên,Lượng chất thải,GRI306,Công bố chất thải?,waste,Không,Định tính,Có số liệu,Có số liệu+xu hướng,Số liệu
E15,E,Tài nguyên,Tái chế,GRI306,Công bố tái chế?,recycle,Không,Đề cập,Có số liệu,Có số liệu+kết quả,Số liệu
E16,E,Hiệu quả môi trường,Đầu tư môi trường,GRI201,Đầu tư môi trường?,đầu tư môi trường,Không,Đề cập,Có số tiền,Có số tiền+kết quả,Số liệu
E17,E,Hiệu quả môi trường,Tuân thủ môi trường,GRI307,Tuân thủ môi trường?,vi phạm môi trường,Không,Đề cập,Có báo cáo,Có báo cáo+thành tích,Mô tả
E18,E,Hiệu quả môi trường,Đa dạng sinh học,GRI304,Đa dạng sinh học?,biodiversity,Không,Đề cập,Có chương trình,Có chương trình+kết quả,Mô tả
S1,S,Xã hội,Quy mô lao động,GRI,Công bố Quy mô lao động?,xã hội,Không,Đề cập,Có số liệu/chương trình,Có số liệu+kết quả,Bằng chứng liên quan
