indicator_id,pillar,indicator,question,keywords
E1,E,GHG emissions,Does the company disclose greenhouse gas emissions including Scope 1 Scope 2 or Scope 3?,emissions|greenhouse gas|ghg|scope 1|scope 2|scope 3|carbon dioxide|co2|khí thải|phát thải|khí nhà kính
E2,E,Energy consumption,Does the company disclose energy consumption or energy intensity?,energy consumption|electricity|fuel consumption|energy intensity|renewable energy|năng lượng|điện năng|tiêu thụ điện|nhiên liệu
E3,E,Water management,Does the company disclose water withdrawal consumption recycling or discharge?,water withdrawal|water consumption|wastewater|water recycling|water discharge|nước thải|nguồn nước|tiêu thụ nước|xử lý nước
E4,E,Waste management,Does the company disclose waste generation treatment recycling or hazardous waste?,waste|hazardous waste|recycling|landfill|waste treatment|chất thải|rác thải|tái chế|xử lý chất thải
E5,E,Climate targets,Does the company disclose climate or decarbonization targets and progress?,net zero|carbon neutral|climate target|emission reduction target|decarbonization
E6,E,Environmental policy,Does the company disclose environmental policy management systems or certifications?,environmental policy|iso 14001|environmental management|ems|môi trường|chính sách môi trường|quản lý môi trường
E7,E,Biodiversity,Does the company disclose biodiversity ecosystem or habitat impacts?,biodiversity|ecosystem|habitat|conservation|deforestation
E8,E,Pollution control,Does the company disclose air water or soil pollution control?,pollution|air quality|emissions treatment|spill|contamination
E9,E,Resource efficiency,Does the company disclose resource efficiency materials use or circular economy practices?,resource efficiency|materials|circular economy|reuse|raw materials
E10,E,Green investment,Does the company disclose green capex environmental investment or clean technology spending?,green investment|environmental investment|clean technology|green capex
E11,E,Environmental compliance,Does the company disclose environmental fines incidents or compliance status?,environmental compliance|fine|penalty|violation|incident
E12,E,Supplier environmental standards,Does the company apply environmental requirements to suppliers?,supplier environmental|green procurement|supplier assessment|sustainable sourcing
E13,E,Product environmental impact,Does the company disclose product lifecycle eco-design or product carbon impact?,lifecycle|eco-design|product carbon|environmentally friendly product
E14,E,Renewable energy,Does the company disclose renewable energy use or procurement?,renewable energy|solar|wind|renewable electricity|ppa
E15,E,TCFD climate risk,Does the company disclose climate-related risks opportunities or TCFD alignment?,tcfd|climate risk|physical risk|transition risk|scenario analysis
